filename,text,labels
,Tomato leaves with sticky residue and aphids; SPAD low on older leaves.,
,Rice field with cracked topsoil and wilting seedlings.,
,Wheat leaves with orange pustules; humid mornings reported.,
,Chili plants show sun scorch on exposed fruits during heatwave.,
,"AMD starts shipping 90-nanometer chips to customers Advanced Micro Devices Inc.'s (AMD Inc.'s) 90-nanometer notebook processors are on their way to customers, according to a research note published by Goldman Sachs   Co. Thursday.&lt;p&gt;ADVERTISEMENT&lt;/p&gt;&lt;p&gt;&lt;img src=""http://ad.doubleclick.net/ad/idg.us.ifw.general/ibmpseries;sz=1x1;ord=200301151450?"" width=""1"" height=""1"" border=""0""/&gt;&lt;a href=""http://ad.doubleclick.net/clk;9824455;9690404;u?http://ad.doubleclick.net/clk;9473681;9688522;d?http://www.ibm.com/servers/eserver/pseries/campaigns/boardroom/index.html?ca=pSeries met=boardroom me=E P_Creative=P_InfoW_RSS""&gt;Introducing IBM eServer p5 systems.&lt;/a&gt;&lt;br/&gt;Powered by IBMs most advanced 64-bit microprocessor (POWER5(tm)), p5 systems can run UNIX and Linux simultaneously. Learn more about eServer p5 systems.&lt;/p&gt;",
,"Rwandan Troops Arrive in Darfur (AP) AP - Dozens of Rwandan soldiers flew into Sudan's troubled Darfur region Sunday, the first foreign armed force deployed in the area since Arab militiamen began a rampage against black African farmers, killing thousands.",
,"Rwandan troops arrive in Darfur as president vows force to protect civilians (Canadian Press) Canadian Press - AL-FASHER, Sudan (AP) - Dozens of Rwandan soldiers arrived in Sudan's troubled Darfur region Sunday, the first foreign armed force deployed in the area since Arab militiamen began a rampage against black African farmers, killing thousands.",
,"Chinese dig for villagers buried under landslides after deadly typhoon (Canadian Press) Canadian Press - SHANGHAI, China (AP) - Villagers in an eastern province dug with farm tools Monday to search for 24 people missing in massive landslides unleashed by Typhoon Rananim, which has already been blamed for 115 deaths and is the worst such storm to hit China in seven years.",
,"China Typhoon Death Toll Rises; 40 Missing (AP) AP - China raised its official death toll from Typhoon Rananim to at least 147 on Monday, as villagers with farm tools dug through massive landslides searching for 40 people still missing.",
,"Bikes Bring Internet to Indian Villagers (AP) AP - For 12-year-old Anju Sharma, hope for a better life arrives in her poor farming village three days a week on a bicycle rickshaw that carries a computer with a high-speed, wireless Internet connection.",
,"Celebrity Chefs Are Everywhere in Vegas By ADAM GOLDMAN    LAS VEGAS (AP) -- The waiter appears tableside in the cozy dining room laden with oil paintings, stained glass and hints of cherry and oak. Before reciting the day's special menu items, he recounts the restaurant's devotion to farm-fresh produce and tosses out a morsel about its namesake, chef Bradley Ogden...",
,"Profits Up for Farm Equipment Maker Deere  CHICAGO (Reuters) - Deere   Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=DE.N target=/stocks/quickinfo/fullquote""&gt;DE.N&lt;/A&gt;, one of the world's  largest farm equipment makers, on Tuesday said quarterly  earnings jumped sharply, driven in part by strength in its  agricultural and construction equipment businesses.",
,"Profits Up for Farm Equipment Maker Deere (Reuters) Reuters - Deere   Co. (DE.N), one of the world's\largest farm equipment makers, on Tuesday said quarterly\earnings jumped sharply, driven in part by strength in its\agricultural and construction equipment businesses.",
,"Deere Earnings Jump, Raises 2004 Forecast  CHICAGO (Reuters) - Deere   Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=DE.N target=/stocks/quickinfo/fullquote""&gt;DE.N&lt;/A&gt;, one of the world's  largest farm equipment makers, on Tuesday said quarterly  earnings jumped sharply, driven in part by strength in its  agricultural and construction equipment businesses.",
,"Bikes Bring Internet to Indian Villagers By S. SRINIVASAN    BITHOOR, India (AP) -- For 12-year-old Anju Sharma, hope for a better life arrives in her poor farming village three days a week on a bicycle rickshaw that carries a computer with a high-speed, wireless Internet connection...",
,"Deere Earnings Up, Raises 2004 Forecast  CHICAGO (Reuters) - Deere   Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=DE.N target=/stocks/quickinfo/fullquote""&gt;DE.N&lt;/A&gt;, one of the world's  largest farm equipment makers,  said on Tuesday that quarterly  earnings jumped 62 percent, driven by strength in its  agricultural and construction equipment businesses.",
,Music fans sound off RealNetworks Inc. urged digital-music lovers yesterday to stand up for their freedom of choice. They responded by exercising their freedom of speech -- much to the company #39;s chagrin.,
,"Sewage waters a tenth of world #39;s irrigated crops A tenth of the world #39;s irrigated crops - everything from lettuce and tomatoes to mangoes and coconuts - are watered by sewage. And much of that sewage is raw and untreated, gushing direct from sewer pipes into fields at the fringes of the developing ...",
,Singapore Suspends Some Poultry Imports (AP) AP - Singapore said Wednesday that it has suspended the import of all poultry and poultry products from neighboring Malaysia after avian influenza was discovered at a farm there.,
